式神,生命,攻击,防御,速度,暴击,效果命中,效果抵抗,一技能,一技能描述,一技能强化,二技能,二技能描述,二技能强化,三技能,三技能描述,三技能强化,觉醒效果,觉醒技能,觉醒技能描述,觉醒技能强化
奴良陆生,11393,3028.4,383.67,113,0.1,0,0.5,弥弥切丸,"拔出""退魔刀·弥弥切丸""砍击敌方目标，造成攻击80%伤害。","Lv.2伤害增加至84%
Lv.3伤害增加至88%
Lv.4伤害增加至92%
Lv.5有25%概率邀战1～2名随机友方。",镜花水月,"受到伤害或触发抵抗时，有35%概率获得1层畏，并反击敌方。
单次攻击内最多触发1次。
畏上限4层，每层持续4回合。",,百鬼夜行,"获得1层持续4回合的畏，并拔出""退魔刀·弥弥切丸""强力斩击敌方目标，造成攻击120%伤害。","Lv.2伤害增加至126%
Lv.3伤害增加至132%
Lv.4伤害增加至138%
Lv.5伤害增加至150%",属性增强:效果抵抗增加50%,,,
妖刀姬,10025.96,3269.6,396.9,111,0.12,0,0,不祥之刃,使用太刀攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",,,,杀戮,攻击敌方目标6次，每次造成攻击50%伤害，若击杀目标时攻击次数未用尽，则转换攻击生命最低的另一敌方目标。,"Lv.2伤害增加至52%
Lv.3伤害增加至54%
Lv.4伤害增加至56%
Lv.5伤害增加至58%，每次转换攻击目标，使攻击次数增加2次",觉醒添加技能,幽锋,造成伤害时，有20%概率造成攻击40%的额外伤害。,
妖狐,10367.72,3055.2,418.95,115,0.1,0,0,风刃,舞扇卷出风刃攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",聚气,造成伤害时，获得1层聚气，上限5层。,"Lv.2每层聚气提升攻击效果，增至3%
Lv.3每层聚气提升攻击效果，增至4%
Lv.4每层聚气提升攻击效果，增至5%
Lv.5每层聚气提升攻击效果，增至6%",狂风刃卷,挥舞纸扇进行风刃攻击敌方目标2次，每次造成攻击66%伤害。有50%的概率对同一目标重复施放此技能。,"Lv.2伤害增加至69%
Lv.3伤害增加至72%
Lv.4伤害增加至75%
Lv.5伤害增加至78%",属性增强:吸血增加10%,,,
妖琴师,12646.12,2572.8,410.13,120,0.05,0,0,惊弦,以琴为弓，以妖力将琴音凝成音箭攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",余音,"使友方目标获得新的回合。
使友方全体获得余音，持续1回合。","Lv.2余音提升速度效果增至11点
Lv.3余音提升速度效果增至14点
Lv.4余音提升速度效果增至17点
Lv.5余音提升速度效果增至20点",疯魔琴心,将心中所想全部灌注在演奏之中，奏出让人癫狂的音色，对敌方全体造成攻击85%伤害，并有20%概率击退100%行动条。,"Lv.2伤害增加至89%
Lv.3伤害增加至93%
Lv.4伤害增加至97%
Lv.5伤害增加至101%",觉醒技能增强,疯魔琴心,将心中所想全部灌注在演奏之中，奏出让人癫狂的音色，对敌方全体造成攻击85%伤害，并有20%概率击退100%行动条以及20%基础概率使其混乱，持续1回合。,"Lv.2伤害增加至89%
Lv.3伤害增加至93%
Lv.4伤害增加至97%
Lv.5伤害增加至101%"
姑获鸟,10823.4,3082,396.9,113,0.1,0,0,伞剑,以肉眼无法捕捉的速度迅速拔出藏在腰间的伞挥砍敌方目标，造成攻击80%伤害并无视20%防御。,"Lv.2伤害增加至84%
Lv.3伤害增加至88%
Lv.4伤害增加至92%
Lv.5伤害增加至96%",协战,30%概率协战。,,天翔鹤斩,以伞为剑，划出凌冽的剑气攻击敌方全体3次，每次造成攻击33%伤害，最后对敌方目标造成攻击88%伤害。,"Lv.2全体伤害增至35%，目标伤害增至93%
Lv.3全体伤害增至37%，目标伤害增至98%
Lv.4全体伤害增至39%，目标伤害增至103%
Lv.5全体伤害增至41%，目标伤害增至108%",属性增强:伤害加成增加10%,,,
孟婆,10709.48,2921.2,427.77,115,0.08,0,0,药汤,把滚烫药汤泼向敌方目标，造成攻击100%伤害，额外对护盾造成100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",,,,天降之物,跳入半空，乘着汤碗从天而降，对敌方目标造成攻击211%伤害并有90%基础概率使其沉默2回合，同时对其他敌方造成攻击27%伤害并有25%基础概率使他们沉默1回合。,"Lv.2敌方目标伤害增至222%，其他敌方伤害增至28%
Lv.3敌方目标伤害增至233%，其他敌方伤害增至29%
Lv.4敌方目标伤害增至244%，其他敌方伤害增至30%
Lv.5敌方目标伤害增至255%，其他敌方伤害增至31%",觉醒添加技能,汤盆冲撞,以妖力引导汤盆冲向敌方目标，造成攻击130%伤害并有50%基础概率使其沉默1回合。,"Lv.2伤害增加至137%
Lv.3伤害增加至144%
Lv.4伤害增加至151%
Lv.5伤害增加至158%"
小松丸,10823.4,2921.2,423.36,115,0.05,0,0,松果一击,扔出一个大大的松果砸向敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",胆怯,受到非传导伤害时，有15%概率躲至生命最高的友方身后免疫此伤害及附带效果。若本次伤害为单体伤害，则改由身前的友方承受其中80%伤害及技能效果。,"Lv.2触发概率增至18%
Lv.3触发概率增至19%
Lv.4触发概率增至21%
Lv.5触发概率增至25%",怒气,踩踏4次，首次攻击敌方目标，余下次数攻击随机敌方，每次造成攻击150%伤害，并有42%基础概率将敌方变形1回合；若重复踩踏同一目标，伤害依次递减40%，基础概率降至20%，变形回合数可叠加至最多2回合。,"Lv.2伤害增加至159%
Lv.3伤害增加至168%
Lv.4伤害增加至177%
Lv.5伤害增加至187%",觉醒技能增强,胆怯,"受到非传导伤害时，有15%概率躲至生命最高的友方身后免疫此伤害及附带效果。若本次伤害为单体伤害，则改由身前的友方承受其中80%伤害及技能效果。
触发躲避时，有50%基础概率对伤害者挑衅，持续1回合。","Lv.2触发概率增至18%
Lv.3触发概率增至19%
Lv.4触发概率增至21%
Lv.5触发概率增至25%"
小袖之手,11051.24,2948,401.31,116,0.08,0,0,绵里藏针,操控针线穿过敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",丝缕相连,"召唤针线连接敌方目标及另一名随机敌方，当其中一名敌方受到控制效果，另一名敌方有40%概率被附加同样效果，且不触发其御魂及被动。
针线继承目标50%生命、70%防御。","Lv.2继承生命值增至60%
Lv.3概率增至50%
Lv.4继承防御值增至80%
Lv.5概率增至60%",穿针引线,操纵针线攻击敌方全体，造成攻击100%伤害，最后对敌方目标造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",觉醒技能增强,丝缕相连,"召唤针线连接敌方目标及另一名随机敌方，当其中一名敌方受到控制效果、受到伤害时，另一名敌方有40%概率被附加同样效果、受到等量70%传导伤害，且均不触发被动及御魂。
针线继承目标50%生命、70%防御。","Lv.2继承生命值增至60%
Lv.3概率增至50%
Lv.4继承防御值增至80%
Lv.5概率增至60%"
小鹿男,11165.16,2814,427.77,120,0.1,0,0,森之力,以森林之力唤出藤蔓攻击敌方目标，造成攻击100%伤害并有50%基础概率附加森之力，持续2回合。,"Lv.2伤害增加至105%，基础概率增至60%
Lv.3伤害增加至110%，基础概率增至70%
Lv.4伤害增加至115%，基础概率增至80%
Lv.5伤害增加至120%，基础概率增至100%",,,,鹿角冲撞,"将全身妖力注入鹿角攻击敌方目标，造成攻击158%伤害。
当拥有生生不息时将击退敌方40%行动条，若被击退至末端则有100%基础概率使其眩晕1回合。
触发眩晕会消耗1层生生不息。","Lv.2伤害增加至166%
Lv.3伤害增加至174%；生生不息2层时，可额外攻击1个随机敌方目标，对同目标的重复伤害降低40％
Lv.4伤害增加至182%
Lv.5伤害增加至191%；生生不息多于1层时，每多1层可额外攻击1个随机敌方目标，对同目标的重复伤害降低40％",觉醒添加技能,生生不息,"回合结束时，若当回合没消耗生生不息则获得1层该状态，上限3层。
受到控制效果时，有10%概率将该效果反弹给随机敌方。
敌方施放鬼火技能时，增加20%行动条。","Lv.2效果反弹概率增至12%
Lv.3效果反弹概率增至14%
Lv.4效果反弹概率增至16%
Lv.5效果反弹概率增至20%"
少羽大天狗,9684.2,3484,374.85,122,0.1,0,0,风缠,聚风形成旋转羽刃攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",幼羽,施放技能进行攻击时，若对同一目标重复造成伤害，则技能伤害逐次递增10%。,,羽刃之风,召唤飓风形成羽刃旋涡攻击敌方目标5次，每次造成攻击40%伤害，并根据其他敌方数量，分裂出至多2个小型飓风，随机攻击其他敌方目标，每个造成攻击40%伤害。,"Lv.2伤害增加至42%
Lv.3伤害增加至44%
Lv.4伤害增加至46%
Lv.5伤害增加至50%",,羽刃之风,召唤飓风形成羽刃旋涡攻击敌方目标5次，每次造成攻击40%伤害，并根据其他敌方数量，分裂出至多2个小型飓风，随机攻击其他敌方目标，每个造成攻击40%伤害。,"Lv.2伤害增加至42%
Lv.3伤害增加至44%
Lv.4伤害增加至46%
Lv.5伤害增加至50%"
山兔,10709.48,2894.4,432.18,115,0.08,0,0,谁还不听话,乘着巨大的山蛙跳到敌人面前，趁其不备拿出纸扇狠拍敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,幸运套环,把敌人当做幸运套环的奖品，丢出套环攻击敌方目标，造成攻击237%伤害并有10%基础概率将其变形，持续2回合。,"Lv.2伤害增加至249%
Lv.3伤害增加至261%
Lv.4伤害增加至273%
Lv.5伤害增加至285%",觉醒添加技能,兔子舞,跳起舞为队友鼓劲，使友方全体增加30%行动条，并获得兔子舞，持续2回合。,"Lv.2兔子舞提升攻击效果增至15%
Lv.3兔子舞提升攻击效果增至20%"
山童,10139.88,3001.6,523.908,116,0.08,0,0,碎岩,一把举起沉重的石锤，高高跃起然后重重地砸向敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",怪力,攻击时，8%基础概率使目标眩晕，持续1回合。,,崩山,抄起石锤跳入敌阵，使出怪力猛轰敌方全体3次，每次造成攻击35%伤害。,"Lv.2伤害增加至37%
Lv.3伤害增加至39%
Lv.4伤害增加至41%
Lv.5伤害增加至43%",属性增强:防御加成增加20%,,,
山风,11393,3403.6,388.08,115,0.01,0,0,风,迅速前冲并攻击敌方目标2次，每次造成攻击76%伤害。,"Lv.2伤害增加至80%
Lv.3伤害增加至84%
Lv.4伤害增加至87%
Lv.5伤害增加至95%",烈,当控制效果被驱散或回合结束消失时，增加35%行动条，及获得困兽，持续1回合。,"Lv.2困兽提升攻击效果增至15%
Lv.3困兽提升攻击效果增至20%
Lv.4困兽提升攻击效果增至25%
Lv.5若任一敌方生命比例低于35%，则增加行动条效果增至70%",斩,爆发全身力量攻击敌方目标，接着再攻击另一名生命比例最低的敌方目标，均造成攻击132%伤害且必定暴击，并附加撕裂，造成敌方当前生命值12%+攻击88%间接伤害（不超过自身攻击320%），持续1回合。,"Lv.2伤害增加至139%
Lv.3伤害增加至145%
Lv.4伤害增加至152%
Lv.5撕裂消失后，附加减疗100%，持续1回合",觉醒技能增强,烈,"当控制效果被驱散或回合结束消失时，增加35%行动条，及获得困兽，持续1回合。
造成伤害时，敌方每损失1%生命比例，则该次伤害增加0.5%。","Lv.2困兽提升攻击效果增至15%
Lv.3困兽提升攻击效果增至20%
Lv.4困兽提升攻击效果增至25%
Lv.5若任一敌方生命比例低于35%，则增加行动条效果增至70%"
巫蛊师,10709.48,3055.2,405.72,105,0.08,0.2,0,施蛊,向敌方目标抛出蛊虫，造成攻击100%伤害，对带有蛊蚀的敌方，伤害提升20%。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",迷魂蛊,"带有蛊蚀的敌方阵亡时，成为受控制的傀儡一同作战。
傀儡继承巫蛊师20%生命值，30%攻击。","Lv.2继承生命值增至25%
Lv.3继承攻击增至40%
Lv.4继承生命值增至30%
Lv.5继承攻击增至50%",魔蛊毒爆,扔蛊攻击敌方全体，造成攻击109%伤害并有40%基础概率附加蛊蚀，持续3回合。,"Lv.2伤害增加至115%
Lv.3伤害增加至120%
Lv.4伤害增加至125%
Lv.5伤害增加至131%",属性增强:效果命中增加20%,,,
座敷童子,12418.28,2331.6,458.64,102,0.08,0,0,魂之火,释放灵魂火焰攻击敌方目标，造成攻击100%伤害，有50%概率获得1点鬼火。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",,,,,,,觉醒添加技能,福运昌隆,先机：获得1点鬼火。,"Lv.2获得鬼火增至2
Lv.3获得鬼火增至3"
弈,9912.04,3001.6,445.41,106,0.08,0,0,征子,向敌方目标投出当前持有的棋子，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",气合,"交替持有黑子、白子，造成伤害时有100%基础概率为敌方附加1层所持棋子，上限4层。达上限时，优先覆盖不同色棋子。
带有棋子的敌方在其回合结束时，若该回合没消耗鬼火，随机移除1层棋子。",,神之一手,投出棋子攻击9次，首次攻击敌方目标，余下次数攻击随机敌方，每次造成攻击42%伤害。,"Lv.2伤害增加至44%
Lv.3伤害增加至46%
Lv.4伤害增加至48%
Lv.5伤害增加至51%",觉醒技能增强,气合,"交替持有黑子、白子，造成伤害时有100%基础概率为敌方附加1层所持棋子，上限4层。达上限时，优先覆盖不同色棋子。
当敌方被附加4层同色棋子，对其造成攻击600%伤害。
带有棋子的敌方在其回合结束时，若该回合没消耗鬼火，随机移除1层棋子。",
彼岸花,11393,3001.6,388.08,107,0.08,0,0,死亡之花,用殷红的花瓣攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",赤团华,"唯一效果。
花海中的敌方，在回合开始时，每层花海对其造成攻击39%伤害。
自身生命比例100%、75%、50%、25%时，花海上限为3、4、5、6层；回合开始时自动减少1层花海，最少不低于1层。
生命比例每降低25%，获得1层花海及『血之花海』的护盾。
先机：创造3层花海，包围敌方全体。","Lv.2每层花海伤害增加至41%
Lv.3每层花海伤害增加至43%
Lv.4每层花海伤害增加至45%
Lv.5每层花海伤害增加至48%",血之花海,"获得2层花海。
若生命比例低于75%，获得不可驱散的护盾，能吸收20%已损失生命的伤害，持续2回合。","Lv.2护盾吸收量增至已损失生命的22%
Lv.3护盾吸收量增至已损失生命的24%
Lv.4护盾吸收量增至已损失生命的26%
Lv.5护盾吸收量增至已损失生命的28%",觉醒技能增强,血之花海,"获得2层花海，若生命比例低于50%，再获得1层花海。
若生命比例低于75%，获得不可驱散的护盾，能吸收20%已损失生命的伤害，持续2回合。","Lv.2护盾吸收量增至已损失生命的22%
Lv.3护盾吸收量增至已损失生命的24%
Lv.4护盾吸收量增至已损失生命的26%
Lv.5护盾吸收量增至已损失生命的28%"
御馔津,12646.12,3001.6,449.82,119,0.05,0,0,一矢,"攻击敌方目标，造成攻击80%伤害。
敌方行动后，有5%概率对其施放『一矢·封魔』，造成等同『一矢』伤害，并有100%基础概率使其沉默、封印、压制、减疗75%，且不触发其御魂及被动。","Lv.2伤害增加至84%
Lv.3伤害增加至88%
Lv.4伤害增加至92%
Lv.5伤害增加至100%",狐狩界,创造存在1回合的结界，使『一矢·封魔』的施放概率提升至40%，且在施放时将获得4层灵符，上限12层。,,燃爆·破魔箭,引燃全部灵符攻击敌方目标，造成攻击195%伤害，并消耗所有灵符层数，每层额外提升该次伤害20%。,"Lv.2每层提升伤害增至21%
Lv.3每层提升伤害增至22%
Lv.4每层提升伤害增至23%
Lv.5每层提升伤害增至25%",觉醒技能增强,狐狩界,"创造存在1回合的结界，使『一矢·封魔』的施放概率提升至40%，且在施放时将获得4层灵符，上限12层。
先机：施放『狐狩界』",
惠比寿,12873.96,2358.4,436.59,107,0.1,0,0,赐福,挥动笏板使用流光击打敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,鲤鱼旗,"召唤鲤鱼旗。友方行动前，鲤鱼旗为其治疗，治疗等同鲤鱼旗生命上限40%的生命。
鲤鱼旗继承惠比寿40%生命值，免疫减益状态和控制效果。","Lv.2鲤鱼旗行动时，随机选择2个友方带有的减益状态或控制效果，将其驱散。
Lv.3继承生命值增至50%
Lv.4继承生命值增至60%",觉醒添加技能,转祸为福,受到攻击时，有20%概率回复1点鬼火。,"Lv.2触发概率增至25%
Lv.3触发概率增至30%"
数珠,11051.24,2251.2,485.1,111,0.03,0,0.25,降魔杖,用降魔杖轰出冲击波来攻击敌方目标，造成攻击100%伤害并有100%基础概率附加降魔，持续2回合。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",轮回,"敌方每次行动，若自身未处于无法动作，获得1颗佛珠。
累计6颗时，消耗全部的佛珠来对敌方全体造成攻击136%伤害，并有30%概率击退30%行动条。
『禅意』打坐期间，没有佛珠时将立即获得1颗佛珠。","Lv.2伤害增加至143%
Lv.3击退行动条增至40%
Lv.4伤害增加至150%
Lv.5击退行动条增至50%",禅意,打坐2回合，此期间友方在回合开始前，有40%概率（每颗佛珠额外提升10%）驱散1个减益状态或控制效果，并消耗1颗佛珠来增加30%行动条。每个成功驱散可为其治疗生命上限3%的生命。,"Lv.2治疗增至4%
Lv.3驱散个数增至2个
Lv.4治疗增至5%
Lv.5驱散个数增至3个",属性增强:效果抵抗增加25%,,,
於菊虫,11962.6,2948,374.85,109,0.05,0,0,吐丝,向敌方目标喷射毒液，造成攻击60%伤害并有100%基础概率附加1级中毒，持续2回合。,"Lv.2伤害增加至66%
Lv.3附加中毒增至2级
Lv.4伤害增加至72%
Lv.5附加中毒增至3级",破茧,喷射毒液造成伤害时，若目标带有中毒，则随机引爆其中1个，并造成攻击8%×该中毒等级的间接伤害。,"Lv.2间接伤害伤害增至12%
Lv.3引爆后，100%基础概率再附加1个提升1级的中毒，持续1回合
Lv.4间接伤害伤害增至16%
Lv.5引爆后再附加的中毒，增至2回合",虫之毒,连续喷射毒液攻击5次，每次对随机敌方目标造成攻击30%伤害，优先攻击未攻击过的敌方，并有100%基础概率附加2级中毒，持续2回合。,"Lv.2附加中毒增至3级
Lv.3伤害增加至36%
Lv.4攻击次数增至6次
Lv.5消耗鬼火减少1点",觉醒技能增强,虫之毒,凝视一个敌方目标，然后连续喷射毒液攻击5次，每次对随机敌方目标造成攻击30%伤害，优先攻击未攻击过的敌方，并有100%基础概率附加2级中毒，持续2回合。然后对凝视目标造成攻击72%伤害，并将攻击过程中引爆的其他单位的中毒复制，100%基础概率附加给凝视目标，持续2回合。,"Lv.2附加中毒增至3级
Lv.3伤害增加至36%
Lv.4攻击次数增至6次
Lv.5消耗鬼火减少1点"
日和坊,14013.16,2358.4,392.49,112,0.05,0,0,阳炎,将日光的能量凝聚洒向敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",晴雨,"使用晴天娃娃来帮助友方，可以存储日光能量至晴天娃娃中，存储上限等同日和坊生命上限。
友方受到伤害时，存储等同25%伤害的日光能量。
敌方行动结束时，消耗存储的日光能量来治疗生命最低的友方目标，最多治疗其30%已损失的生命。",,滋养,"友方阵亡时，若自身被动技能未失效，牺牲晴天娃娃来复活随机1名阵亡的友方式神，为其治疗生命上限100%的生命，并将50%日光能量均分治疗友方全体。晴天娃娃在4回合后重生，多个日和坊在场时，将牺牲所有晴天娃娃。
【施放】存储等同自身生命上限25%的日光能量。","Lv.2均分治疗增至75%日光能量
Lv.3施放时存储的日光能量增至40%
Lv.4均分治疗增至100%日光能量
Lv.5晴天娃娃重生回合数减1",觉醒技能增强,晴雨,"使用晴天娃娃来帮助友方，可以存储日光能量至晴天娃娃中，存储上限等同日和坊生命上限。
友方受到伤害、敌方获得治疗时，存储等同25%伤害或20%治疗的日光能量。
敌方行动结束时，消耗存储的日光能量来治疗生命最低的友方目标，最多治疗其30%已损失的生命。",
杀生丸,10025.96,3323.2,388.08,118,0.12,0,0,毒华爪,使用毒华爪攻击敌方目标，造成攻击100%伤害并有100%基础概率降低20%防御，持续1回合。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",天生牙结界,受到伤害时，抵挡其中的30%，最多不超过已损失生命的40%。,,冥道残月破,挥出一道冥道残月，对敌方全体造成攻击150%伤害，并有100%基础概率附加破碎印记，持续2回合。,"Lv.2伤害增加至158%
Lv.3伤害增加至166%
Lv.4伤害增加至174%
Lv.5伤害增加至182%",觉醒技能增强,天生牙结界,"受到伤害时，抵挡其中的30%，最多不超过已损失生命的40%。
受到致命伤害时，抵挡该次伤害并获得无敌直到下个回合开始，当无敌结束时，承受复生虚弱，持续1回合；每回目仅触发1次，并在触发后获得30%吸血直到回目结束。
无敌时，无法行动。",
桃花妖,12532.3,2385.2,489.51,100,0.05,0,0,花舞,舞动的花瓣结成花之印攻击敌方目标，造成攻击100%伤害,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",花之馨息,为友方目标治疗生命上限20%的生命，暴击时，对其他友方治疗等同本次治疗量30%的生命。,"Lv.2治疗增至21%
Lv.3治疗增至22%
Lv.4治疗增至23%
Lv.5治疗增至25%",桃华灼灼,复活阵亡的友方目标，并为其治疗生命上限20%的生命。,"Lv.2治疗增至21%
Lv.3治疗增至22%
Lv.4治疗增至23%
Lv.5治疗增至25%",属性增强:生命加成增加10%,,,
桔梗,10595.56,3108.8,401.31,115,0.1,0,0,灵力迸发,闪现并推出灵力攻击敌方目标，造成攻击80%伤害并有50%概率驱散1个增益状态。,"Lv.2伤害增加至85%
Lv.3伤害增加至90%
Lv.4伤害增加至95%
Lv.5伤害增加至100%，驱散概率增至100%",灵魂结界,回合结束后，释放灵魂结界防御自身，能吸收攻击100％的伤害。,,破魔之箭,向敌方目标射出圣属性的强力箭矢，造成攻击263%伤害，并有100%基础概率附加破魔，持续2回合；对带有破魔的敌方，伤害提升100%。,"Lv.2伤害增加至276%
Lv.3伤害增加至289%
Lv.4伤害增加至302%
Lv.5若破魔被驱散，则为目标附加四魂封印，将使式神所配戴御魂效果、被动技能失效，持续2回合",觉醒技能增强,灵魂结界,回合结束后，释放灵魂结界防御自身，能吸收攻击100％的伤害。灵魂结界被击破时，提升30%攻击，持续1回合。,
椒图,12304.36,2304.8,467.46,117,0.05,0,0,水花弹,摆动尾巴，拨动周围的水气，形成水花弹攻击敌方目标，造成攻击100%伤害并有30%基础概率附加水流缠绕，持续2回合。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",润物无声,受到伤害时，友方全体各有50%概率获得滋养，持续2回合。,"Lv.2滋养提升暴击伤害效果增至10%
Lv.3滋养提升暴击伤害效果增至15%
Lv.4滋养提升暴击伤害效果增至20%",涓流,"使友方全体获得生命链接，持续1回合。
分担的伤害类型被视为传导伤害。","Lv.2持续回合增至2
Lv.3生命链接额外提供减伤5%",觉醒技能增强,涓流,"使友方全体获得生命链接，使其在行动后，治疗其生命上限5%的生命，持续1回合。
分担的伤害类型被视为传导伤害。","Lv.2持续回合增至2
Lv.3生命链接额外提供减伤5%"
樱花妖,13785.32,2385.2,396.9,99,0.03,0,0,樱落,使用花瓣攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",复苏,"唯一效果。
若未受变形效果影响，则其他友方行动结束后，为其治疗生命上限6%的生命；若为回合结束后，则改为为其治疗生命上限9%生命，并同时樱花妖治疗自身生命上限4%生命。
【施放】获得1层复苏之舞，上限4层，持续4回合。","Lv.2回合结束时治疗效果增至10%
Lv.3复苏之舞治疗效果提升增至25%
Lv.4回合结束时治疗效果增至11%
Lv.5消耗鬼火降至2点",樱吹雪,降下落樱攻击敌方全体，对每个敌方驱散3个增益状态，并且50%基础概率减疗50%，持续2回合；同时附加落樱，造成生命上限7%间接伤害（不超过樱花妖攻击325%），持续2回合。,"Lv.2落樱间接伤害增至生命上限11%
Lv.3落樱间接伤害增至生命上限15%
Lv.4减疗效果不可驱散
Lv.5若没有驱散任何增益，返还1点鬼火",觉醒技能增强,樱吹雪,降下落樱攻击敌方全体，对每个敌方驱散3个增益状态，并且100%基础概率减疗50%，持续2回合；同时附加落樱，造成生命上限7%间接伤害（不超过樱花妖攻击325%），持续2回合。,"Lv.2落樱间接伤害增至生命上限11%
Lv.3落樱间接伤害增至生命上限15%
Lv.4减疗效果不可驱散
Lv.5若没有驱散任何增益，返还1点鬼火"
武士之灵,10481.64,3028.4,418.95,110,0.08,0,0,武士之心,即使已经失去了身体、失去了武器，武士之灵还是挥起了拳头，攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,不甘之怒,释放不甘的怨念，攻击敌方全体，造成攻击108%伤害并有100%基础概率附加亡魂附身，持续3回合。,"Lv.2伤害增至114%，亡魂附身间接伤害增至57%
Lv.3伤害增至119%，亡魂附身间接伤害增至60%
Lv.4伤害增至125%，亡魂附身间接伤害增至63%
Lv.5伤害增至130%，亡魂附身间接伤害增至65%",觉醒添加技能,灭魂,带有亡魂附身的目标，降低10%效果命中。,"Lv.2降低效果命中效果，增至20%
Lv.3降低效果命中效果，增至30%
Lv.4降低效果命中效果，增至40%
Lv.5亡魂附身被驱散时，目标削减1点鬼火"
河童,10139.88,3028.4,432.18,113,0.05,0,0,水流弹,将水流压缩成水弹攻击敌方目标，造成攻击75%伤害。,"Lv.2伤害增加至79%
Lv.3伤害增加至83%
Lv.4伤害增加至87%
Lv.5伤害增加至91%",清流,清流的滋润使妖力提升。回合结束时，获得1层滋润，上限4层。,"Lv.2滋润提升攻击效果增至20%
Lv.3滋润提升攻击效果增至25%
Lv.4滋润提升攻击效果增至30%",大河之歌,以大河之水形成的巨大水弹攻击敌方全体，造成攻击96%伤害。,"Lv.2伤害增加至100%
Lv.3伤害增加至104%
Lv.4伤害增加至108%
Lv.5伤害增加至112%",觉醒技能增强,大河之歌,以大河之水形成的巨大水弹攻击敌方全体，造成攻击96%伤害，对生命比例低于40%的敌方额外造成20%伤害。,"Lv.2伤害增加至100%
Lv.3伤害增加至104%
Lv.4伤害增加至108%
Lv.5伤害增加至112%"
